,loss,params,iteration,estimators
0,0.23142807831041512,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6341798647365757, 'learning_rate': 0.02479639227174956, 'min_child_samples': 260, 'num_leaves': 64, 'reg_alpha': 0.2359646563745091, 'reg_lambda': 0.5500300045973123, 'subsample_for_bin': 260000, 'subsample': 0.5785837234969702}",763,115
1,0.23145102750797542,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6228299832443549, 'learning_rate': 0.021674704427878038, 'min_child_samples': 255, 'num_leaves': 108, 'reg_alpha': 0.670252852205089, 'reg_lambda': 0.0764614944648151, 'subsample_for_bin': 260000, 'subsample': 0.5018206737690871}",411,171
2,0.23200464220703432,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.620649129448606, 'learning_rate': 0.017934544496484815, 'min_child_samples': 260, 'num_leaves': 30, 'reg_alpha': 0.2092981310373776, 'reg_lambda': 0.8946886330215067, 'subsample_for_bin': 20000, 'subsample': 0.8731487506937664}",5,182
3,0.23200920866618568,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6130135457866234, 'learning_rate': 0.021684298137541837, 'min_child_samples': 265, 'num_leaves': 76, 'reg_alpha': 0.15105635910941542, 'reg_lambda': 0.9147095236485672, 'subsample_for_bin': 260000, 'subsample': 0.58223293708164}",787,127
4,0.2320826672920866,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6270176703026132, 'learning_rate': 0.020543330966703723, 'min_child_samples': 260, 'num_leaves': 65, 'reg_alpha': 0.1388010277088491, 'reg_lambda': 0.9989751844834596, 'subsample_for_bin': 280000, 'subsample': 0.5116495334011687}",800,153
5,0.23212311363382276,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6379350852708522, 'learning_rate': 0.024793550555401223, 'min_child_samples': 255, 'num_leaves': 66, 'reg_alpha': 0.13232119107850826, 'reg_lambda': 0.3356895364117159, 'subsample_for_bin': 300000, 'subsample': 0.7811239801429848}",118,117
6,0.23215958195018216,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6397134296487154, 'learning_rate': 0.02028831608814134, 'min_child_samples': 260, 'num_leaves': 123, 'reg_alpha': 0.4956536751389808, 'reg_lambda': 0.15397595791972318, 'subsample_for_bin': 260000, 'subsample': 0.6229615256224098}",581,152
7,0.23218679736269543,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6332733793729326, 'learning_rate': 0.02429480380901759, 'min_child_samples': 255, 'num_leaves': 80, 'reg_alpha': 0.26639337420160186, 'reg_lambda': 0.880364646870384, 'subsample_for_bin': 60000, 'subsample': 0.8547032219638329}",269,154
8,0.2322254814868473,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.626688884670455, 'learning_rate': 0.019407109785468415, 'min_child_samples': 265, 'num_leaves': 78, 'reg_alpha': 0.1723379569111299, 'reg_lambda': 0.9824539436382735, 'subsample_for_bin': 280000, 'subsample': 0.6140359210259795}",791,153
9,0.23224275772306024,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6286006415586992, 'learning_rate': 0.019774504681338255, 'min_child_samples': 270, 'num_leaves': 86, 'reg_alpha': 0.8415088596974345, 'reg_lambda': 0.3966302525950639, 'subsample_for_bin': 200000, 'subsample': 0.6392670814891271}",483,149
10,0.23226187523275243,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6224818237798057, 'learning_rate': 0.02683387879777642, 'min_child_samples': 265, 'num_leaves': 81, 'reg_alpha': 0.8399744531345628, 'reg_lambda': 0.2480407386740955, 'subsample_for_bin': 240000, 'subsample': 0.5767082707661992}",402,117
11,0.23232612973397637,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6521544127982479, 'learning_rate': 0.01856261321149151, 'min_child_samples': 260, 'num_leaves': 69, 'reg_alpha': 0.27345366703663143, 'reg_lambda': 0.8076095269335191, 'subsample_for_bin': 260000, 'subsample': 0.558465217137899}",816,149
12,0.2323263007414098,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6296229241370385, 'learning_rate': 0.02087568228462914, 'min_child_samples': 230, 'num_leaves': 67, 'reg_alpha': 0.6355947405963108, 'reg_lambda': 0.12750923708687126, 'subsample_for_bin': 220000, 'subsample': 0.8346206458953886}",665,152
13,0.23235803355356477,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6547163868937999, 'learning_rate': 0.02364101964191038, 'min_child_samples': 270, 'num_leaves': 113, 'reg_alpha': 0.2308566853955564, 'reg_lambda': 0.8355863072879015, 'subsample_for_bin': 280000, 'subsample': 0.8446956849182057}",895,110
14,0.23244886036721624,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6558042963268089, 'learning_rate': 0.021002426131046473, 'min_child_samples': 260, 'num_leaves': 48, 'reg_alpha': 0.2548520655782853, 'reg_lambda': 0.9963404469188369, 'subsample_for_bin': 260000, 'subsample': 0.529215843255921}",824,147
15,0.2325412750269379,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6737446774573985, 'learning_rate': 0.019406478273560963, 'min_child_samples': 265, 'num_leaves': 114, 'reg_alpha': 0.5485538308261182, 'reg_lambda': 0.06416176948387615, 'subsample_for_bin': 260000, 'subsample': 0.6289561883496005}",434,153
16,0.23258188172318528,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6202344845928104, 'learning_rate': 0.021686384114366002, 'min_child_samples': 245, 'num_leaves': 61, 'reg_alpha': 0.09162337854269859, 'reg_lambda': 0.8419279231949215, 'subsample_for_bin': 300000, 'subsample': 0.5111693321877399}",802,154
17,0.23258819666325814,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6186892410756281, 'learning_rate': 0.0221655136740404, 'min_child_samples': 265, 'num_leaves': 60, 'reg_alpha': 0.42288691234310305, 'reg_lambda': 0.9401271073668858, 'subsample_for_bin': 300000, 'subsample': 0.6572085603852987}",944,132
18,0.23261019382599246,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6505898370372709, 'learning_rate': 0.02454672216525189, 'min_child_samples': 260, 'num_leaves': 58, 'reg_alpha': 0.1751076755774638, 'reg_lambda': 0.5508876497327573, 'subsample_for_bin': 60000, 'subsample': 0.7481286234705581}",771,113
19,0.23262086076507482,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.722751062977867, 'learning_rate': 0.021983208599268635, 'min_child_samples': 245, 'num_leaves': 34, 'reg_alpha': 0.03711216394814676, 'reg_lambda': 0.32418987814012573, 'subsample_for_bin': 260000, 'subsample': 0.7043162889008311}",160,132
20,0.23263111055815588,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6327771059293368, 'learning_rate': 0.020223767093237182, 'min_child_samples': 225, 'num_leaves': 143, 'reg_alpha': 0.7817140120753503, 'reg_lambda': 0.1780796248894009, 'subsample_for_bin': 240000, 'subsample': 0.6954981660854831}",595,174
21,0.23268039938589824,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.610673942524822, 'learning_rate': 0.022664606440899873, 'min_child_samples': 265, 'num_leaves': 89, 'reg_alpha': 0.1710356034624989, 'reg_lambda': 0.3208690955241581, 'subsample_for_bin': 200000, 'subsample': 0.5235013231867722}",620,150
22,0.23278178492737112,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6365028694414051, 'learning_rate': 0.020660325143334112, 'min_child_samples': 265, 'num_leaves': 61, 'reg_alpha': 0.08241154208268744, 'reg_lambda': 0.7335587629246391, 'subsample_for_bin': 260000, 'subsample': 0.5618980034084757}",842,132
23,0.23287723342716515,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6325134777422373, 'learning_rate': 0.019461138682821906, 'min_child_samples': 265, 'num_leaves': 119, 'reg_alpha': 0.5946628957471398, 'reg_lambda': 0.09081177281721736, 'subsample_for_bin': 260000, 'subsample': 0.6603619133158223}",578,149
24,0.23289394898326832,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6013024082090273, 'learning_rate': 0.03025671380740504, 'min_child_samples': 275, 'num_leaves': 70, 'reg_alpha': 0.40028603773492466, 'reg_lambda': 0.20335375756021323, 'subsample_for_bin': 300000, 'subsample': 0.7049765184018401}",562,109
25,0.23291944198648518,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6158103352441641, 'learning_rate': 0.018659116027406934, 'min_child_samples': 255, 'num_leaves': 90, 'reg_alpha': 0.627175855754815, 'reg_lambda': 0.10561364824520358, 'subsample_for_bin': 260000, 'subsample': 0.5006377721418158}",407,154
26,0.232930874253917,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6121818934821377, 'learning_rate': 0.020345277528020143, 'min_child_samples': 255, 'num_leaves': 67, 'reg_alpha': 0.15499156736124475, 'reg_lambda': 0.9299820638090395, 'subsample_for_bin': 260000, 'subsample': 0.5794580800397953}",788,140
27,0.23294991831451495,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6212781441197714, 'learning_rate': 0.01683008171096085, 'min_child_samples': 260, 'num_leaves': 124, 'reg_alpha': 0.2455641948370983, 'reg_lambda': 0.3281234847012249, 'subsample_for_bin': 260000, 'subsample': 0.6471203735792777}",602,180
28,0.2330574528347482,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6172556526262482, 'learning_rate': 0.019798012955137813, 'min_child_samples': 250, 'num_leaves': 143, 'reg_alpha': 0.23558582962213565, 'reg_lambda': 0.0008442555814522634, 'subsample_for_bin': 300000, 'subsample': 0.5985803706153625}",714,156
29,0.23305975722999794,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6682469970080471, 'learning_rate': 0.021046094288368178, 'min_child_samples': 235, 'num_leaves': 60, 'reg_alpha': 0.5024696234604015, 'reg_lambda': 0.9534274767231781, 'subsample_for_bin': 40000, 'subsample': 0.9528859760991137}",926,149
