,loss,params,iteration,estimators
0,0.23351514105421978,"{'class_weight': None, 'boosting_type': 'gbdt', 'num_leaves': 50, 'learning_rate': 0.03360937607598136, 'subsample_for_bin': 80000, 'min_child_samples': 235, 'reg_alpha': 0.836734693877551, 'reg_lambda': 0.061224489795918366, 'colsample_bytree': 0.6888888888888889, 'subsample': 0.8181818181818182}",544,102
1,0.23351761477486288,"{'class_weight': 'balanced', 'boosting_type': 'gbdt', 'num_leaves': 99, 'learning_rate': 0.04600148599214018, 'subsample_for_bin': 140000, 'min_child_samples': 275, 'reg_alpha': 0.14285714285714285, 'reg_lambda': 0.9387755102040816, 'colsample_bytree': 0.6444444444444444, 'subsample': 0.7525252525252526}",63,59
2,0.23360091249566461,"{'class_weight': None, 'boosting_type': 'gbdt', 'num_leaves': 38, 'learning_rate': 0.07916084442421274, 'subsample_for_bin': 20000, 'min_child_samples': 265, 'reg_alpha': 0.1020408163265306, 'reg_lambda': 0.6122448979591836, 'colsample_bytree': 0.6, 'subsample': 0.595959595959596}",925,41
3,0.23377339928351815,"{'class_weight': None, 'boosting_type': 'gbdt', 'num_leaves': 137, 'learning_rate': 0.008384610951889282, 'subsample_for_bin': 100000, 'min_child_samples': 260, 'reg_alpha': 0.3061224489795918, 'reg_lambda': 0.42857142857142855, 'colsample_bytree': 0.6, 'subsample': 0.9040404040404041}",9,365
4,0.23444638698298148,"{'class_weight': 'balanced', 'boosting_type': 'gbdt', 'num_leaves': 102, 'learning_rate': 0.010234832826887624, 'subsample_for_bin': 280000, 'min_child_samples': 220, 'reg_alpha': 0.6326530612244897, 'reg_lambda': 0.22448979591836732, 'colsample_bytree': 0.6444444444444444, 'subsample': 0.6818181818181819}",677,331
5,0.23448062379250523,"{'class_weight': None, 'boosting_type': 'gbdt', 'num_leaves': 30, 'learning_rate': 0.07517252308066144, 'subsample_for_bin': 160000, 'min_child_samples': 270, 'reg_alpha': 0.4081632653061224, 'reg_lambda': 0.32653061224489793, 'colsample_bytree': 0.6888888888888889, 'subsample': 0.9090909090909092}",317,39
6,0.23474108773735403,"{'class_weight': None, 'boosting_type': 'gbdt', 'num_leaves': 110, 'learning_rate': 0.013107691708972033, 'subsample_for_bin': 80000, 'min_child_samples': 270, 'reg_alpha': 0.3877551020408163, 'reg_lambda': 0.02040816326530612, 'colsample_bytree': 0.6, 'subsample': 0.601010101010101}",616,236
7,0.23484741567399192,"{'class_weight': 'balanced', 'boosting_type': 'gbdt', 'num_leaves': 72, 'learning_rate': 0.012632507993991704, 'subsample_for_bin': 60000, 'min_child_samples': 175, 'reg_alpha': 0.673469387755102, 'reg_lambda': 0.44897959183673464, 'colsample_bytree': 0.6, 'subsample': 1.0}",36,22
8,0.23495770004982197,"{'class_weight': None, 'boosting_type': 'gbdt', 'num_leaves': 68, 'learning_rate': 0.04549470675187697, 'subsample_for_bin': 160000, 'min_child_samples': 250, 'reg_alpha': 0.0, 'reg_lambda': 0.9591836734693877, 'colsample_bytree': 0.7333333333333333, 'subsample': 0.5555555555555556}",645,75
9,0.23499263014030125,"{'class_weight': None, 'boosting_type': 'gbdt', 'num_leaves': 57, 'learning_rate': 0.03323911555708387, 'subsample_for_bin': 100000, 'min_child_samples': 160, 'reg_alpha': 0.42857142857142855, 'reg_lambda': 0.2857142857142857, 'colsample_bytree': 0.6888888888888889, 'subsample': 0.8232323232323233}",673,35
